arrival_rate_per_s,typing,type_count,training_replications,validation_replications,training_primary_events,training_causal_events,training_mean_progeny,primary_mix_identity_residual,primary_mix_algebraic_identity,complete_forest_rho_bound_verified,training_primary_mix_status,validation_primary_events,validation_causal_events,active_parent_types,minimum_active_parent_count,spectral_radius,regime,spectral_proxy_1_over_1_minus_rho,exact_G_star,lp_G_star,lp_minimum_residual,G_star_over_spectral_proxy,commutator_non_normality,off_diagonal_mass,heldout_measured_progeny,infinite_primary_mix_prediction,infinite_primary_mix_relative_error,training_derived_depth,finite_depth_primary_mix_prediction,finite_depth_primary_mix_relative_error,validation_scope
0.4,scalar,1,3,3,96,374,3.8958333333333335,-4.440892098500626e-16,True,True,descriptive_not_predictive,87,446,1,374,0.7433155080213903,subcritical_resolvent_defined,3.895833333333333,3.895833333333333,3.895833333333333,0.0,1.0,0.0,0.0,5.126436781609195,3.895833333333333,0.24005044843049328,10,3.746723769425292,0.2691368431838555,independent_complete_root_cohorts
0.4,severity_SR,2,3,3,96,374,3.8958333333333335,0.0,True,True,descriptive_not_predictive,87,446,2,137,0.6407050380996882,subcritical_resolvent_defined,2.78322856160019,4.324280633688976,4.324280633688976,-1.1102230246251565e-16,1.5536922455275368,0.36559044409116087,0.4567741538082479,5.126436781609195,3.8958333333333335,0.2400504484304932,10,3.849848314372322,0.2490206202906008,independent_complete_root_cohorts
0.4,spatial_4,4,3,3,96,374,3.8958333333333335,0.0,True,True,descriptive_not_predictive,87,446,4,42,0.6724137931034483,subcritical_resolvent_defined,3.0526315789473686,5.599549861495846,5.599549861495846,0.0,1.8343352994555355,0.10801250173025807,0.5925065459548218,5.126436781609195,3.8958333333333335,0.2400504484304932,10,3.773692974617631,0.2638760340992513,independent_complete_root_cohorts
0.4,spatial_8,8,3,3,96,374,3.8958333333333335,0.0,True,True,descriptive_not_predictive,87,446,8,4,0.6050610261938388,subcritical_resolvent_defined,2.5320367609270362,6.594402563686948,6.594402563686948,-3.3306690738754696e-16,2.6043865813672418,0.4483027175696189,2.594423558897243,5.126436781609195,3.8958333333333335,0.2400504484304932,10,3.779140806264022,0.2628133404821302,independent_complete_root_cohorts
0.4,spatial_16,16,3,3,96,374,3.8958333333333335,-8.881784197001252e-16,True,True,descriptive_not_predictive,87,446,15,4,0.48097363709286256,subcritical_resolvent_defined,1.926684406547027,6.955733431609103,6.955733431609103,0.0,3.6102090243596545,0.212238497342791,8.315882635882636,5.126436781609195,3.8958333333333326,0.2400504484304934,10,3.799507751452865,0.2588404161964142,independent_complete_root_cohorts
0.4,root_gate_control,16,3,3,96,374,3.8958333333333335,-4.440892098500626e-16,True,True,descriptive_not_predictive,87,446,16,9,0.8333333333333334,subcritical_resolvent_defined,6.000000000000002,6.000000000000002,6.000000000000002,0.0,1.0,0.0,0.0,5.126436781609195,3.895833333333333,0.24005044843049328,10,3.6731480517946373,0.2834890571611357,independent_complete_root_cohorts
0.5,scalar,1,3,3,105,835,7.9523809523809526,0.0,True,True,descriptive_not_predictive,88,648,1,835,0.874251497005988,subcritical_resolvent_defined,7.9523809523809526,7.9523809523809526,7.9523809523809526,0.0,1.0,0.0,0.0,7.363636363636363,7.9523809523809526,0.0799529688418578,21,7.538859886654811,0.02379578707657936,independent_complete_root_cohorts
0.5,severity_SR,2,3,3,105,835,7.9523809523809526,8.881784197001252e-16,True,True,descriptive_not_predictive,88,648,2,305,0.846351530800749,subcritical_resolvent_defined,6.508362922270329,8.23589673541866,8.235896735418658,-3.3306690738754696e-16,1.265432925880186,0.06183265269127851,0.218280235075781,7.363636363636363,7.952380952380953,0.07995296884185792,21,7.71046171791499,0.04709973946993698,independent_complete_root_cohorts
0.5,spatial_4,4,3,3,105,835,7.9523809523809526,8.881784197001252e-16,True,True,descriptive_not_predictive,88,648,4,48,0.8181818181818182,subcritical_resolvent_defined,5.500000000000002,9.925390204520992,9.92539020452099,-2.220446049250313e-16,1.804616400821998,0.1267100515076692,0.8312379884689302,7.363636363636363,7.952380952380953,0.07995296884185792,21,7.745539489936366,0.0518633875222226,independent_complete_root_cohorts
0.5,spatial_8,8,3,3,105,835,7.9523809523809526,-8.881784197001252e-16,True,True,descriptive_not_predictive,88,648,8,7,0.7431906614785992,subcritical_resolvent_defined,3.8939393939393945,11.17157190084028,11.171571900840258,-1.2878587085651816e-14,2.86896399009906,0.3289318975724257,3.38791038498107,7.363636363636363,7.952380952380952,0.07995296884185768,21,7.850459511569276,0.06611178552175354,independent_complete_root_cohorts
0.5,spatial_16,16,3,3,105,835,7.9523809523809526,-8.881784197001252e-16,True,True,descriptive_not_predictive,88,648,15,7,0.6312849162011173,subcritical_resolvent_defined,2.712121212121212,11.348733987871944,11.34873398787194,-8.881784197001252e-16,4.184449403349432,0.14862827128038528,10.682610738558278,7.363636363636363,7.952380952380952,0.07995296884185768,21,7.918622573457162,0.07536849762998499,independent_complete_root_cohorts
0.5,root_gate_control,16,3,3,105,835,7.9523809523809526,0.0,True,True,descriptive_not_predictive,88,648,16,10,0.9152542372881356,subcritical_resolvent_defined,11.8,11.8,11.8,0.0,1.0,0.0,0.0,7.363636363636363,7.9523809523809526,0.0799529688418578,21,7.32016975054746,0.0059028733824437055,independent_complete_root_cohorts
0.6,scalar,1,3,3,104,828,7.961538461538462,0.0,True,True,descriptive_not_predictive,88,648,1,828,0.8743961352657005,subcritical_resolvent_defined,7.961538461538462,7.961538461538462,7.961538461538462,0.0,1.0,0.0,0.0,7.363636363636363,7.961538461538462,0.08119658119658127,21,7.546031748690929,0.02476974364938546,independent_complete_root_cohorts
0.6,severity_SR,2,3,3,104,828,7.961538461538462,1.7763568394002505e-15,True,True,descriptive_not_predictive,88,648,2,300,0.8475854314395495,subcritical_resolvent_defined,6.561052591264468,8.220132743362834,8.220132743362834,0.0,1.2528679855892793,0.06458108057531706,0.2218939393939394,7.363636363636363,7.9615384615384635,0.0811965811965815,21,7.714526079581537,0.04765168981971497,independent_complete_root_cohorts
0.6,spatial_4,4,3,3,104,828,7.961538461538462,-1.7763568394002505e-15,True,True,descriptive_not_predictive,88,648,4,49,0.817258883248731,subcritical_resolvent_defined,5.472222222222222,9.971077761206395,9.971077761206395,-2.220446049250313e-16,1.8221258852966,0.12081791317316394,0.8225108225108225,7.363636363636363,7.96153846153846,0.08119658119658102,21,7.754486757794433,0.05307844858936755,independent_complete_root_cohorts
0.6,spatial_8,8,3,3,104,828,7.961538461538462,1.7763568394002505e-15,True,True,descriptive_not_predictive,88,648,8,7,0.7411764705882353,subcritical_resolvent_defined,3.863636363636364,11.172042396446068,11.172042396446054,-8.43769498715119e-15,2.8915874437860407,0.33224977277943357,3.374773785738043,7.363636363636363,7.9615384615384635,0.0811965811965815,21,7.858543318347783,0.06720958644229155,independent_complete_root_cohorts
0.6,spatial_16,16,3,3,104,828,7.961538461538462,1.7763568394002505e-15,True,True,descriptive_not_predictive,88,648,15,7,0.6271186440677966,subcritical_resolvent_defined,2.6818181818181817,11.314266901898371,11.31426690189838,-8.881784197001252e-16,4.218879183758715,0.14805550491083103,10.639055184643421,7.363636363636363,7.9615384615384635,0.0811965811965815,21,7.92755270314237,0.07658123129093913,independent_complete_root_cohorts
0.6,root_gate_control,16,3,3,104,828,7.961538461538462,-8.881784197001252e-16,True,True,descriptive_not_predictive,88,648,16,10,0.9215686274509803,subcritical_resolvent_defined,12.749999999999991,12.749999999999991,12.749999999999991,0.0,1.0,0.0,0.0,7.363636363636363,7.961538461538461,0.08119658119658114,21,7.311390655110952,0.007095096219500244,independent_complete_root_cohorts
0.8,scalar,1,3,3,105,836,7.961904761904762,-8.881784197001252e-16,True,True,descriptive_not_predictive,88,632,1,836,0.8744019138755981,subcritical_resolvent_defined,7.961904761904761,7.961904761904761,7.961904761904761,0.0,1.0,0.0,0.0,7.181818181818182,7.961904761904761,0.10861965039180221,21,7.546318514165521,0.05075321083317385,independent_complete_root_cohorts
0.8,severity_SR,2,3,3,105,836,7.961904761904762,8.881784197001252e-16,True,True,descriptive_not_predictive,88,632,2,305,0.8466348508395202,subcritical_resolvent_defined,6.52038618600116,8.244911897281792,8.244911897281792,-1.1102230246251565e-16,1.2644821429416369,0.061845950453066255,0.21827668179432558,7.181818181818182,7.961904761904763,0.10861965039180246,21,7.71816552570708,0.07468127573136554,independent_complete_root_cohorts
0.8,spatial_4,4,3,3,105,836,7.961904761904762,-1.7763568394002505e-15,True,True,descriptive_not_predictive,88,632,4,48,0.818639798488665,subcritical_resolvent_defined,5.513888888888888,9.931577786747997,9.931577786747997,0.0,1.8011929487301155,0.12667233964464386,0.8312379884689302,7.181818181818182,7.96190476190476,0.10861965039180209,21,7.7534753850801925,0.0795978384288876,independent_complete_root_cohorts
0.8,spatial_8,8,3,3,105,836,7.961904761904762,-8.881784197001252e-16,True,True,descriptive_not_predictive,88,632,8,7,0.7441860465116279,subcritical_resolvent_defined,3.9090909090909087,11.177160929599117,11.177160929599113,-8.881784197001252e-16,2.8592737261765184,0.328824354437733,3.38791038498107,7.181818181818182,7.961904761904761,0.10861965039180221,21,7.85890713156544,0.09427820819265618,independent_complete_root_cohorts
0.8,spatial_16,16,3,3,105,836,7.961904761904762,-1.7763568394002505e-15,True,True,descriptive_not_predictive,88,632,15,7,0.6333333333333333,subcritical_resolvent_defined,2.727272727272727,11.342028481449399,11.342028481449395,-8.881784197001252e-16,4.158743776531447,0.14876900691599737,10.662292377673879,7.181818181818182,7.96190476190476,0.10861965039180209,21,7.926893850246936,0.10374471332552272,independent_complete_root_cohorts
0.8,root_gate_control,16,3,3,105,836,7.961904761904762,0.0,True,True,descriptive_not_predictive,88,632,16,10,0.9152542372881356,subcritical_resolvent_defined,11.8,11.8,11.8,0.0,1.0,0.0,0.0,7.181818181818182,7.961904761904762,0.10861965039180234,21,7.329184409854591,0.02051934820760128,independent_complete_root_cohorts
