dimensionless_burden_g_over_T0,R_at_fold
0.018134978041964952,0.8822532078498325
0.018730315385064367,0.8805958153516247
0.019345196537440462,0.8789192973360729
0.019980263085725508,0.8772235679758277
0.020636177678638585,0.8755085458926037
0.021313624718414376,0.8737741543484425
0.022013311074930323,0.8720203214407078
0.022735966823277175,0.8702469803007538
0.023482346005542765,0.8684540692962057
0.02425322741760353,0.8666415322367778
0.025049415421745023,0.8648093185835436
0.02587174078595924,0.8629573836615637
0.026721061550794352,0.8610856888757655
0.027598263924661803,0.8591942019299548
0.028504263208534344,0.8572828970488294
0.029440004751000337,0.8553517552028493
0.030406464934670686,0.8534007643358085
0.03140465219496752,0.8514299195949316
0.03243560807235811,0.8494392235633146
0.033500408299131326,0.8474286864945006
0.03460016392185112,0.8453983265489807
0.035736022460657886,0.8433481700323756
0.03690916910662778,0.8412782516350548
0.03812082795843888,0.8391886146729185
0.039372263299634794,0.8370793113290569
0.04066478091781858,0.8349504028959779
0.04199972946715306,0.832801960018081
0.04337850187558989,0.8306340629340269
0.04480253679829489,0.8284468017186408
0.04627332011878693,0.8262402765239608
0.047792386499356,0.824014597819023
0.04936132098237917,0.821769886627954
0.050981760644204246,0.8195062747659213
0.05265539630332755,0.8172239050724643
0.054383974284648015,0.8149229316417135
0.0561692982416381,0.8126035200489777
0.058013231038333786,0.810265847573158
0.05991769669310619,0.8079101034144248
0.06188468238624389,0.8055364889065743
0.06391624053344006,0.8031452177234495
0.0660144909273489,0.8007365160788027
0.0681816229494448,0.7983106229189393
0.07041989785449289,0.795867790107475
0.07273165113001462,0.7934082826015064
0.07511929493320968,0.7909323786184852
0.07758532060787836,0.7884403697930567
0.08013230128396887,0.7859325613231157
0.08276289456246352,0.7834092721043062
0.08547984528840413,0.7808708348521834
0.0882859884149515,0.778317596211236
0.09118425196146572,0.7757499168499599
0.09417766006869518,0.7731681715411598
0.09726933615426178,0.7705727492266471
0.10046250617173413,0.7679640530654981
0.10376050197669118,0.7653425004650309
0.10716676480328632,0.7627085230936573
0.1106848488549412,0.7600625668747705
0.11431842501291503,0.7574050919608301
0.11807128466661902,0.7547365726868182
0.12194734366967383,0.752057497502246
0.12595064642583575,0.7493683688809124
0.13008537010905719,0.7466697032076283
0.13435582902208262,0.7439620306411482
0.13876647909813086,0.7412458949525763
0.1433219225503574,0.738521853338545
0.14802691267395085,0.7357904762085017
0.15288635880587312,0.7330523469454817
0.15790533144741759,0.7303080616397907
0.16308906755493327,0.727558228795069
0.16844297600423153,0.7248034690062708
0.17397264323438025,0.7220444146091514
0.1796838390767721,0.7192817093009213
0.18558252277555187,0.7165160077318002
0.1916748492056815,0.7137479750672814
0.19796717529513325,0.7109782865209978
0.20446606665791178,0.7082076268581745
0.21117830444482444,0.7054366898697378
0.218110892419152,0.7026661778172552
0.22527106426459803,0.6998968008489805
0.2326662911331458,0.6971292763873865
0.24030428944069696,0.694364328488675
0.24819302891862552,0.6916026871748729
0.2563407409296515,0.6888450877392379
0.26475592705670664,0.6860922700258172
0.27344736797375824,0.6833449776841287
0.28242413260784355,0.6806039574000524
0.2916955876018796,0.6778699581041489
0.3012714070881164,0.6751437301587461
0.311161582782436,0.6724260245252596
0.3213764344100279,0.6697175919133341
0.331926620473319,0.6670191819135164
0.3428231493733971,0.6643315421152883
0.35407739089652696,0.6616554172124021
0.3657010880777493,0.6589915480975683
0.3777063694539368,0.6563406709486568
0.39010576171909933,0.6537035163086592
0.4029122027951348,0.6510808081617618
0.41613905533167067,0.6484732630079499
0.42980012064907985,0.6458815889386454
0.4439096531392171,0.6433064847159357
0.4584823751389096,0.6407486388580066
0.4735334922917116,0.6382087287334318
0.4890787094139595,0.6356874196669973
0.5051342468816766,0.6331853640597561
0.521716857555435,0.6307032005260081
0.5388438442608223,0.6282415530498877
0.5565330778427646,0.6258010301642153
0.5748030158125357,0.6233822241542275
0.5936727216069126,0.6209857102887437
0.6131618844795775,0.6186120460812575
0.6332908400455115,0.6162617705833544
0.6540805914998259,0.6139354037127612
0.6755528315331646,0.6116334456182163
0.6977299649665538,0.6093563760832227
0.7206351321293052,0.6071046539706128
0.7442922330043759,0.604878716709692
0.7687259521663736,0.6026789798275783
0.7939617845382284,0.6005058365261718
0.8200260619934131,0.598359657306013
0.8469459808314584,0.5962407896380982
0.8747496301554415,0.5941495576845225
0.9034660211810535,0.5920862620686226
0.933125117507825,0.5900511796950859
0.9637578663841089,0.5880445636202812
0.9953962309984233,0.586066642972865
1.0280732238308647,0.584117622924503
1.0618229410993847,0.5821976847103448
1.0966805983368697,0.5803069856986834
1.1326825671361538,0.5784456595090374
1.1698664131013081,0.5766138161776977
1.208270935044776,0.5748115423696005
1.2479362054713115,0.5730389016352087
1.2889036123908941,0.571295934710921
1.3312159025043078,0.5695826598613715
1.3749172258064204,0.5678990732618359
1.4200531816536817,0.5662451494188373
1.4666708663439685,0.5646208416269172
1.5148189222583472,0.5630260824594386
1.5645475886160958,0.561460784291197
1.6159087538959191,0.5599248398505341
1.6689560099780232,0.5584181227985993
1.72374470806362,0.5569404883333384
1.7803320164301157,0.5554917738157752
1.8387769800823268,0.5540717994161192
1.8991405823619356,0.5526803687772331
1.9614858085794293,0.5513172696930038
2.025877711735017,0.5499822747991746
2.092383480396979,0.5486751422742385
2.1610725088083766,0.5473956165480292
2.2320164692952345,0.5461434290157057
2.305289387051711,0.5449182987548921
2.3809677173803583,0.5437199332438032
2.4591304254680466,0.542548029078275
2.539859068780724,0.5414022726857043
2.6232378821631235,0.5402823410339957
2.709353865732054,0.5391879023337213
2.7982968756551156,0.5381186167317945
2.8901597179095115,0.5370741369950758
2.9850382451187296,0.5360541091824342
3.083031456568277,0.535058173303902
3.1842416015046564,0.5340859639656766
3.28877428582551,0.5331371109998315
3.3967385822722096,0.5322112400777169
3.508247144239789,0.5313079733061394
3.62341632332315,0.5304269298055214
3.7423662907219843,0.5295677262693463
3.865221162631262,0.528729977504302
3.9921091297480533,0.5279132969506375
4.1231625910297485,0.5271172971823416
4.258518291843415,0.5263415903868462
4.398317466650228,0.5255857888240513
4.542705986374043,0.5248495052645433
4.691834510607799,0.5241323534069678
4.8458586448165,0.523433948274584
5.004939102700954,0.5227539065911049
5.169241873891604,0.5220918471359853
5.33893839714735,0.521447391079385
5.514205739240302,0.5208201622970843
5.695226779712831,0.5202097876656825
5.8821904016999556,0.5196158973384515
6.075291689016077,0.5190381250022588
6.274732129711574,0.51847610811601
6.4807198263119705,0.5179294881310894
6.6934697129586676,0.5173979106943078
6.913203779678128,0.5168810258338853
7.140151304013403,0.5163784881290195
7.3745490902595465,0.515889956863605
7.616641716552892,0.515415096164676
7.86668179007159,0.5149535751261619
8.124930210614048,0.5145050679185442
8.391656442830161,0.5140692538850075
