arrival_rate_over_lambda_sn,density_over_n_sn,branch,fixed_point_slope
0.06114046822742475,1.3902266391629128,unstable,189.7333570516613
0.06448160535117056,0.0463955393309015,stable,0.005578479412229182
0.06448160535117056,1.389823381322845,unstable,179.26031918444593
0.06782274247491639,0.048813754962031934,stable,0.005888592494965385
0.06782274247491639,1.3894186695465227,unstable,169.81986796590004
0.0711638795986622,0.051233433733529614,stable,0.006200913431905557
0.0711638795986622,1.3890124946298328,unstable,161.2665635444429
0.07450501672240803,0.053654584937022895,stable,0.0065154621306685225
0.07450501672240803,1.3886048472811476,unstable,153.48105475019997
0.07784615384615384,0.056077217952788666,stable,0.006832258732473431
0.07784615384615384,1.3881957181201898,unstable,146.36448049705672
0.08118729096989966,0.05850134225090408,stable,0.007151323615601461
0.08118729096989966,1.3877850976768826,unstable,139.83425359445206
0.08452842809364548,0.06092696739241746,stable,0.0074726773989202714
0.08452842809364548,1.3873729763901772,unstable,133.82084447329083
0.0878695652173913,0.0633541030305384,stable,0.007796340945472509
0.0878695652173913,1.3869593446068642,unstable,128.26529868228798
0.09121070234113712,0.06578275891184814,stable,0.008122335366129827
0.09121070234113712,1.3865441925803625,unstable,123.1173000033928
0.09455183946488294,0.06821294487752985,stable,0.008450682023313763
0.09455183946488294,1.386127510469489,unstable,118.33364422435868
0.09789297658862876,0.07064467086461998,stable,0.008781402534785
0.09789297658862876,1.3857092883372069,unstable,113.87702545678366
0.10123411371237458,0.07307794690728033,stable,0.009114518777502448
0.10123411371237458,1.3852895161493548,unstable,109.71506279282204
0.1045752508361204,0.07551278313809202,stable,0.009450052891553725
0.1045752508361204,1.384868183773351,unstable,105.8195135493669
0.10791638795986622,0.07794918978937125,stable,0.009788027284158589
0.10791638795986622,1.38444528097688,unstable,102.16563266210463
0.11125752508361203,0.08038717719450769,stable,0.010128464633746921
0.11125752508361203,1.3840207974265515,unstable,98.73164750638739
0.11459866220735786,0.08282675578932562,stable,0.010471387894112942
0.11459866220735786,1.3835947226865415,unstable,95.4983245881086
0.11793979933110367,0.08526793611346847,stable,0.010816820298647323
0.11793979933110367,1.3831670462172068,unstable,92.44860988631078
0.1212809364548495,0.08771072881180762,stable,0.011164785364649004
0.1212809364548495,1.3827377573736757,unstable,89.56732864442627
0.12462207357859531,0.09015514463587504,stable,0.011515306897718385
0.12462207357859531,1.3823068454044165,unstable,86.84093345337976
0.12796321070234112,0.09260119444532137,stable,0.011868408996233832
0.12796321070234112,1.3818742994497781,unstable,84.257291800219
0.13130434782608696,0.09504888920939905,stable,0.012224116055913347
0.13130434782608696,1.3814401085405084,unstable,81.805506052624
0.13464548494983278,0.0974982400084717,stable,0.012582452774463302
0.13464548494983278,1.3810042615962435,unstable,79.47576024521253
0.1379866220735786,0.09994925803554988,stable,0.012943444156316233
0.1379866220735786,1.380566747423974,unstable,77.25918912487117
0.1413277591973244,0.10240195459785434,stable,0.013307115517459786
0.1413277591973244,1.3801275547164773,unstable,75.1477657714745
0.14466889632107022,0.1048563411184061,stable,0.013673492490358768
0.14466889632107022,1.3796866720507337,unstable,73.1342047911398
0.14801003344481606,0.1073124291376461,stable,0.014042601028972614
0.14801003344481606,1.3792440878863015,unstable,71.21187862111861
0.15135117056856187,0.10977023031508244,stable,0.014414467413870325
0.15135117056856187,1.3787997905636735,unstable,69.37474492035521
0.15469230769230768,0.11222975643096836,stable,0.014789118257445246
0.15469230769230768,1.3783537683025955,unstable,67.61728336958623
0.1580334448160535,0.11469101938800948,stable,0.015166580509231932
0.1580334448160535,1.3779060092003625,unstable,65.93444048850087
0.1613745819397993,0.1171540312131024,stable,0.015546881461327492
0.1613745819397993,1.3774565012300772,unstable,64.32158130795884
0.16471571906354515,0.1196188040591049,stable,0.015930048753919963
0.16471571906354515,1.3770052322388828,unstable,62.77444692401802
0.16805685618729096,0.12208535020663785,stable,0.016316110380926046
0.16805685618729096,1.3765521899461584,unstable,61.28911711513285
0.17139799331103678,0.12455368206592084,stable,0.01670509469574095
0.17139799331103678,1.3760973619416832,unstable,59.86197733167977
0.1747391304347826,0.12702381217864078,stable,0.017097030417102956
0.1747391304347826,1.3756407356837712,unstable,58.48968947260328
0.17808026755852843,0.12949575321985557,stable,0.017491946635075393
0.17808026755852843,1.3751822984973645,unstable,57.16916595176256
0.18142140468227425,0.13196951799993226,stable,0.017889872817148798
0.18142140468227425,1.3747220375720959,unstable,55.89754662992435
0.18476254180602006,0.1344451194665222,stable,0.018290838814466342
0.18476254180602006,1.374259939960314,unstable,54.67217824964305
0.18810367892976587,0.13692257070657224,stable,0.01869487486817524
0.18810367892976587,1.3737959925750722,unstable,53.4905960618294
0.19144481605351168,0.1394018849483738,stable,0.019102011615907286
0.19144481605351168,1.3733301821880783,unstable,52.350507376260715
0.19478595317725753,0.14188307556365062,stable,0.019512280098391743
0.19478595317725753,1.3728624954276099,unstable,51.249776805040035
0.19812709030100334,0.14436615606968617,stable,0.019925711766203665
0.19812709030100334,1.3723929187763824,unstable,50.18641299911433
0.20146822742474915,0.1468511401314907,stable,0.02034233848665106
0.20146822742474915,1.3719214385693859,unstable,49.158556704590644
0.20480936454849497,0.14933804156401018,stable,0.020762192550804227
0.20480936454849497,1.3714480409916743,unstable,48.16446998808211
0.2081505016722408,0.15182687433437733,stable,0.02118530668067087
0.2081505016722408,1.3709727120761155,unstable,47.20252649976579
0.21149163879598662,0.15431765256420574,stable,0.021611714036520503
0.21149163879598662,1.3704954377010947,unstable,46.2712026593606
0.21483277591973243,0.15681039053192838,stable,0.022041448224361916
0.21483277591973243,1.3700162035881804,unstable,45.369069664611466
0.21817391304347825,0.15930510267518133,stable,0.02247454330357752
0.21817391304347825,1.3695349952997353,unstable,44.49478623402364
0.22151505016722406,0.16180180359323368,stable,0.02291103379471839
0.22151505016722406,1.369051798236491,unstable,43.64709200640776
0.2248561872909699,0.1643005080494654,stable,0.023350954687464304
0.2248561872909699,1.3685665976350676,unstable,42.82480152885828
0.2281973244147157,0.16680123097389338,stable,0.023794341448752653
0.2281973244147157,1.3680793785654477,unstable,42.02679877288333
0.23153846153846153,0.16930398746574704,stable,0.024241230031080637
0.23153846153846153,1.3675901259284018,unstable,41.25203212534455
0.23487959866220734,0.1718087927960955,stable,0.024691656880985274
0.23487959866220734,1.3670988244528615,unstable,40.49950980689707
0.23822073578595318,0.17431566241052643,stable,0.02514565894770555
0.23822073578595318,1.3666054586932388,unstable,39.768295675992185
0.241561872909699,0.17682461193187873,stable,0.02560327369203154
0.241561872909699,1.3661100130266943,unstable,39.057505381088696
0.2449030100334448,0.17933565716302952,stable,0.026064539095345247
0.2449030100334448,1.3656124716503517,unstable,38.36630282783668
0.24824414715719062,0.18184881408973774,stable,0.026529493668858237
0.24824414715719062,1.3651128185784513,unstable,37.69389693154402
0.25158528428093646,0.18436409888354466,stable,0.02699817646305098
0.25158528428093646,1.3646110376394522,unstable,37.03953862841658
0.25492642140468225,0.18688152790473392,stable,0.027470627077319378
0.25492642140468225,1.3641071124730713,unstable,36.40251812182444
0.2582675585284281,0.18940111770535162,stable,0.027946885669833867
0.2582675585284281,1.3636010265272618,unstable,35.78216234231089
0.26160869565217393,0.19192288503228785,stable,0.028426992967616527
0.26160869565217393,1.3630927630551335,unstable,35.17783260224492
0.2649498327759197,0.1944468468304227,stable,0.028910990276842245
0.2649498327759197,1.3625823051118064,unstable,34.588922427917794
0.26829096989966555,0.19697302024583627,stable,0.029398919493369625
0.26829096989966555,1.3620696355512012,unstable,34.0148555536381
0.27163210702341134,0.19950142262908582,stable,0.029890823113507933
0.27163210702341134,1.3615547370227599,unstable,33.45508406384753
