sweep,condition_value,speed_m_per_s,robot_count,replication,split,causal_events,primary_events,unique_causal_robots,censored_causal_events,treated_traversal_rate_per_s,control_traversal_rate_per_s,attributable_rate_loss_per_s,attributable_severity_s,traversal_loss,collision_count,crossing_violation_count
speed,1.0,1.0,20,11,validation,3,1,3,0,0.3324952611294474,0.33333333333331455,0.0008380722038671684,6.0341198678460675,0.10056866446407303,0,0
speed,1.2,1.2,20,0,training,3,1,3,0,0.39902596925714,0.4000000000000126,0.0009740307428726114,5.84418445723804,0.11688368914471994,0,0
speed,1.2,1.2,20,1,training,4,1,4,0,0.3988632847344601,0.4000000000000126,0.0011367152655525348,6.8202915933185295,0.13640583186631355,0,0
speed,1.2,1.2,20,2,training,4,1,4,0,0.3987358727071742,0.4000000000000126,0.001264127292838424,7.584763757033404,0.15169527514060804,0,0
speed,1.2,1.2,20,3,training,5,1,5,0,0.39826916447431787,0.4000000000000126,0.0017308355256947516,10.38501315417181,0.20770026308337133,0,0
speed,1.2,1.2,20,4,training,5,1,5,0,0.39823016123538907,0.4000000000000126,0.0017698387646235547,10.61903258774461,0.2123806517548298,0,0
speed,1.2,1.2,20,5,training,3,1,3,0,0.39909094436665077,0.4000000000000126,0.0009090556333618549,5.454333800173595,0.10908667600343118,0,0
speed,1.2,1.2,20,6,validation,6,1,6,0,0.39659947366607307,0.4000000000000126,0.0034005263339395575,20.403158003639874,0.40806316007274196,0,0
speed,1.2,1.2,20,7,validation,4,1,4,0,0.39890341900793025,0.4000000000000126,0.0010965809920823744,6.579485952496999,0.1315897190498802,0,0
speed,1.2,1.2,20,8,validation,5,1,5,0,0.39788388541873043,0.4000000000000126,0.0021161145812821913,12.696687487696652,0.25393374975386585,0,0
speed,1.2,1.2,20,9,validation,6,1,6,0,0.39730906821190853,0.4000000000000126,0.0026909317881040895,16.14559072862801,0.32291181457250107,0,0
speed,1.2,1.2,20,10,validation,4,1,4,0,0.3987310815801492,0.4000000000000126,0.0012689184198634296,7.613510519184089,0.15227021038362049,0,0
speed,1.2,1.2,20,11,validation,5,1,5,0,0.3981299895759023,0.4000000000000126,0.0018700104241103355,11.220062544665671,0.2244012508932466,0,0
speed,1.4,1.4,20,0,training,8,1,8,0,0.46274462971875635,0.46666666666666407,0.003922036947907714,20.1704757320911,0.47064443374891124,0,0
speed,1.4,1.4,20,1,training,9,1,9,0,0.4607591750653551,0.46666666666666407,0.0059074916013089895,30.38138537814425,0.7088989921570672,0,0
speed,1.4,1.4,20,2,training,7,1,7,0,0.4631396180275796,0.46666666666666407,0.0035270486390844846,18.1391072867289,0.4232458366901374,0,0
speed,1.4,1.4,20,3,training,8,1,8,0,0.4628180544695993,0.46666666666666407,0.0038486121970647824,19.792862727757413,0.46183346364778305,0,0
speed,1.4,1.4,20,4,training,7,1,7,0,0.4629800441648117,0.46666666666666407,0.0036866225018523657,18.959772866677824,0.4423947002222789,0,0
speed,1.4,1.4,20,5,training,6,1,6,0,0.46419208485468566,0.46666666666666407,0.0024745818119784047,12.726420747325715,0.2969498174374057,0,0
speed,1.4,1.4,20,6,validation,6,1,6,0,0.4641207295748895,0.46666666666666407,0.002545937091774586,13.093390757705635,0.30551245101295116,0,0
speed,1.4,1.4,20,7,validation,5,1,5,0,0.4651416555437231,0.46666666666666407,0.0015250111229409558,7.8429143465602085,0.18300133475290797,0,0
speed,1.4,1.4,20,8,validation,6,1,6,0,0.46404280268450865,0.46666666666666407,0.0026238639821554166,13.494157622521918,0.3148636778586521,0,0
speed,1.4,1.4,20,9,validation,5,1,5,0,0.46529006847239807,0.46666666666666407,0.0013765981942659988,7.079647856231496,0.16519178331191472,0,0
speed,1.4,1.4,20,10,validation,9,1,9,0,0.46153930770701534,0.46666666666666407,0.00512735895964872,26.36927464960595,0.615283075157853,0,0
speed,1.4,1.4,20,11,validation,8,1,8,0,0.46264998985210004,0.46666666666666407,0.004016676814564024,20.6571950463246,0.48200121774768073,0,0
speed,1.5,1.5,20,0,training,11,1,11,0,0.4933129886016322,0.5000000000000168,0.006687011398384568,32.097654712235446,0.8024413678061625,0,0
speed,1.5,1.5,20,1,training,11,1,11,0,0.4923860783909894,0.5000000000000168,0.007613921609027352,36.54682372331996,0.9136705930832804,0,0
speed,1.5,1.5,20,2,training,10,1,10,0,0.49382019333971794,0.5000000000000168,0.0061798066602988255,29.663071969424337,0.7415767992358638,0,0
speed,1.5,1.5,20,3,training,8,1,8,0,0.4961192330507502,0.5000000000000168,0.0038807669492665897,18.627681356472348,0.46569203391200203,0,0
