profile,map,fleet_size,target_route_length_m,total_arrival_rate_per_s,replication,duration_s,treated_throughput_per_s,control_throughput_per_s,completion_loss,causal_events,primary_events,x_primary_fleet,x_total_fleet,x_primary_fleet_post_warmup,x_total_fleet_post_warmup,mean_work_in_process,realized_density_robots_per_m,mean_lane_headway_m,nominal_T0_s,max_abs_yaw_rate,max_abs_yaw_acceleration,max_lateral_acceleration,max_abs_wheel_speed,collision_count,conflict_violation_count,disturbance_violation_count
quick,four_way_intersection,100,100.0,0.7,0,180.0,0.19658119658119658,0.29914529914529914,12,0,0,0.0,0.0,0.0,0.0,74.88135593220339,0.3744067796610164,2.670891806247175,71.42857142857154,4.973799150320701e-15,3.911746743516535e-14,6.963318810448981e-15,1.4000000000000012,0,0,0
quick,four_way_intersection,100,100.0,0.7,1,180.0,0.20512820512820512,0.29914529914529914,11,1,1,5.3648106457764904e-05,5.3648106457764904e-05,0.0,0.0,74.66101694915254,0.37330508474576213,2.678774120317825,71.42857142857154,4.973799150320701e-15,3.911746743516535e-14,6.963318810448981e-15,1.4000000000000012,0,0,0
quick,four_way_intersection,100,100.0,1.0,0,180.0,0.19658119658119658,0.29914529914529914,12,0,0,0.0,0.0,0.0,0.0,93.10169491525424,0.4655084745762705,2.148188603677411,71.42857142857154,4.973799150320701e-15,3.911746743516535e-14,6.963318810448981e-15,1.4000000000000012,0,0,0
quick,four_way_intersection,100,100.0,1.0,1,180.0,0.19658119658119658,0.29914529914529914,12,1,1,2.660837080551757e-05,2.660837080551757e-05,0.0,0.0,93.08474576271186,0.4654237288135586,2.1485797523670827,71.42857142857154,4.973799150320701e-15,3.911746743516535e-14,6.963318810448981e-15,1.4000000000000012,0,0,0
quick,four_way_intersection,200,200.0,0.4,0,228.60000000000002,0.12113870381586915,0.18843798371357423,10,34,1,0.0032390595903155554,0.48971599028082274,0.00024211152493267647,0.4848782976189789,57.92,0.14479999999999876,6.906077348066357,142.85714285714408,1.2396010144311227e-15,1.948071333875659e-14,1.7354414202035719e-15,1.4000000000000001,0,0,0
quick,four_way_intersection,200,200.0,0.4,1,228.60000000000002,0.12113870381586915,0.18843798371357423,10,34,1,0.0026557262569821384,0.46726210447179406,0.0,0.4628121034117655,57.906666666666666,0.14476666666666543,6.907667510937199,142.85714285714408,1.2396010144311227e-15,1.948071333875659e-14,1.7354414202035719e-15,1.4000000000000001,0,0,0
quick,four_way_intersection,200,200.0,0.7,0,228.60000000000002,0.12113870381586915,0.18170805572380372,9,69,1,0.002266837368070337,1.4202717514590315,0.0,1.4129126162903627,104.98666666666666,0.2624666666666644,3.8100076200152726,142.85714285714408,1.2396010144311227e-15,1.948071333875659e-14,1.7354414202035719e-15,1.4000000000000001,0,0,0
quick,four_way_intersection,200,200.0,0.7,1,228.60000000000002,0.13459855979541016,0.18170805572380372,7,0,0,0.0,0.0,0.0,0.0,103.88,0.25969999999999777,3.850596842510622,142.85714285714408,1.2396010144311227e-15,1.948071333875659e-14,1.7354414202035719e-15,1.4000000000000001,0,0,0
quick,four_way_intersection,200,200.0,1.0,0,228.60000000000002,0.12113870381586915,0.18170805572380372,9,0,0,0.0,0.0,0.0,0.0,149.86666666666667,0.3746666666666635,2.669039145907496,142.85714285714408,1.2396010144311227e-15,1.948071333875659e-14,1.7354414202035719e-15,1.4000000000000001,0,0,0
quick,four_way_intersection,200,200.0,1.0,1,228.60000000000002,0.14805841577495119,0.18170805572380372,5,0,0,0.0,0.0,0.0,0.0,149.01333333333332,0.3725333333333301,2.684323550465306,142.85714285714408,1.2396010144311227e-15,1.948071333875659e-14,1.7354414202035719e-15,1.4000000000000001,0,0,0
