profile,true_rho,dataset,joint_rho,rho_ci_lower,rho_ci_upper,regime_verdict,interval_contains_truth,known_gamma_rho,joint_abs_error,known_gamma_abs_error,max_gamma_abs_error,gamma_bound_entries,bootstrap_successes
quick,1.0,2,1.0405442667623843,0.9589809635017275,1.1698383222472266,indeterminate,True,1.0112400237759072,0.04054426676238432,0.01124002377590716,0.1386215290412235,0,80
quick,1.0,3,0.994486434529685,0.9069321341688277,1.0815892548160801,indeterminate,True,1.0269318936505085,0.005513565470315007,0.02693189365050852,0.20454712210507087,0,80
quick,1.0,4,0.9365176238037323,0.8736831703146525,0.9999676236507727,certified_subcritical,False,0.9462303817461208,0.06348237619626773,0.05376961825387916,0.18035170821087387,0,80
quick,1.0,5,1.0269822829833093,0.9405409850291012,1.179685436916878,indeterminate,True,1.004383252260263,0.02698228298330929,0.0043832522602629265,0.09400309175368826,0,80
quick,1.0,6,1.002081321445141,0.9329187421901749,1.1164420588497825,indeterminate,True,1.007489091885487,0.002081321445140949,0.007489091885487076,0.2504088153199743,0,80
quick,1.0,7,0.9509016486903856,0.8618931638308988,1.0482771933674404,indeterminate,True,0.9721374692701474,0.049098351309614374,0.027862530729852564,0.2348347687948814,0,80
quick,1.0,8,0.9280442991032845,0.8594904051795746,1.0243867976778467,indeterminate,True,0.9467852949938544,0.07195570089671555,0.05321470500614556,0.15626089692749612,0,80
quick,1.0,9,0.9899470219616742,0.9422838828494768,1.0638990843671607,indeterminate,True,1.0045372241627395,0.010052978038325833,0.004537224162739495,0.11975194774665965,0,80
quick,1.0,10,1.0270491845640104,0.9489119602150377,1.1598256914850327,indeterminate,True,0.9860559602725185,0.027049184564010398,0.013944039727481483,0.17660678243881134,0,80
quick,1.0,11,0.9970936679772222,0.9453342482769476,1.0674516791301196,indeterminate,True,1.0197923516442882,0.002906332022777791,0.019792351644288164,0.12920742131664953,0,80
quick,1.15,0,1.225328130280372,1.1112628221479524,1.3455401818442863,certified_supercritical,True,1.1739666898501824,0.07532813028037211,0.023966689850182465,0.18959677057875624,0,80
quick,1.15,1,1.1582617822044878,1.086382461074519,1.2744486081748914,certified_supercritical,True,1.1539208810799635,0.008261782204487922,0.0039208810799635785,0.08525265502941615,0,80
quick,1.15,2,1.184609728621326,1.0862825268937428,1.3127993264851359,certified_supercritical,True,1.170845917335487,0.03460972862132605,0.02084591733548713,0.3402685473818754,0,80
quick,1.15,3,1.0912042678674254,1.0109699319019736,1.2069852268353194,certified_supercritical,True,1.1398340466516301,0.058795732132574496,0.010165953348369783,0.14538275020604818,0,80
quick,1.15,4,1.1345676541072356,1.051281606758546,1.2376204859667144,certified_supercritical,True,1.144612757610053,0.015432345892764321,0.005387242389946811,0.24193970557779054,0,80
quick,1.15,5,1.2026258173631765,1.1327245823800258,1.3260386362827845,certified_supercritical,True,1.1736398107433792,0.05262581736317662,0.023639810743379286,0.15861463568828538,0,80
quick,1.15,6,1.1501385453764321,1.0585764930620323,1.2629547637173133,certified_supercritical,True,1.1348156643867189,0.00013854537643220866,0.01518433561328103,0.09281604208866545,0,80
quick,1.15,7,1.2204350211138932,1.1298592703783177,1.3352478877816034,certified_supercritical,True,1.2096923286689356,0.07043502111389333,0.0596923286689357,0.0872455507469796,0,80
quick,1.15,8,1.2003444652494277,1.1109176169678443,1.3328547411496205,certified_supercritical,True,1.1745784183796095,0.05034446524942782,0.024578418379609612,0.1750083049845086,0,80
quick,1.15,9,1.1640736092617971,1.088777093665524,1.259835588808593,certified_supercritical,True,1.1920397477617208,0.014073609261797237,0.042039747761720925,0.16290091652693584,0,80
quick,1.15,10,1.1823396904459567,1.1121387369639022,1.2889872087044305,certified_supercritical,True,1.1656324809896148,0.03233969044595675,0.015632480989614894,0.1165082968548693,0,80
quick,1.15,11,1.3208567917760847,1.2150846585948964,1.5538986400350017,certified_supercritical,False,1.2047333229444979,0.17085679177608482,0.05473332294449795,0.21847565335546393,0,80
